"trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","trial_category","mobile","success","sizeTempo","colorTempo","rectBaseSize","sizeChangeRate","sizeChangeAmount","rectChangedSize","baseColor","colorHueChangeAmount","colorHueChangeRate","colorChangedColor","sizeChangeLog","colorChangeLog","keypressLog","displayDurationSet","attendedFeature","testedFeaturePair","displayDurationActualized"
"pavlovia","0","1420","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","1","9597","0.0-1.0","8174","[""<div class='jspsych-display-element' style='justify-content: center; align-items: center; min-height: 80vh; width: 100%;'><div style='display: inline-block; margin: 0 auto; color: black; font-size: 2.5vh; line-height: 3.2vh; padding: 10px 200px 10px 200px; text-align: left'>Please note that this experiment is only designed to work from a computer or laptop.  Please <strong> do not </strong> continue if you are using a phone, tablet, or other mobile device.  If you are on a phone, tablet or other mobile device you will need to return to Prolific and click \""stop without completing\"".  <br> <br> If you are currently seeing this page from a laptop or computer, please click on the \""Continue\"" button.</div></div>""]","0","introInstructions","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","24805","0.0-2.0","15207","<div class='jspsych-display-element' style='justify-content: center; align-items: center; min-height: 80vh; width: 100%;'><div style='display: inline-block; margin: 0 auto; color: black; font-size: 2.5vh; line-height: 3.2vh; padding: 10px 200px 10px 200px; text-align: left'>We wanted to provide a heads-up that the end of the experiment will consist of an anonymous survey with multiple questions. A few questions are open-ended questions where you need to type 1-2 sentences. Sometimes participants do not like answering open-ended questions and tend to quit a survey once they see such questions. <br> <br> If a sizable number of people quit a survey halfway, the responses will no longer be useful. Our research depends on good quality responses. Thus, please make sure you do not mind open-ended questions before continuing with experiment.<br> <br> <p><i><strong>Press 'y'</strong> on your keyboard if you agree to answer the open-ended questions at the end of the experiment.</i><br></div></div>","y","introInstructions","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","33059","0.0-3.0","","","","introInstructions","","true","","","","","","","","","","","","","","","","",""
"html-button-response","4","47537","0.0-4.0","14478","<div class='jspsych-display-element' style='justify-content: center; align-items: center; min-height: 80vh; width: 100%;'><div style='display: inline-block; margin: 0 auto; color: black; font-size: 2.5vh; line-height: 3.2vh; padding: 10px 200px 10px 200px; text-align: left'>Hello! Thank you for volunteering to help out with our study. Please take a moment to adjust your seating so that you can comfortably watch the monitor and use the keyboard. Feel free to dim the lights as well.<br><br>Close the door or do whatever is necessary to <b>minimize disturbance during the experiment</b>. Please also take a moment to silence your phone so that you are not interrupted by any messages mid-experiment. Do not switch to any other tabs or windows until you are complete.<br><br>We will now go over the instructions. Please read these carefully, as you will not be able to complete this experiment without following them precisely.<br><br>A ""Next"" button will appear at the bottom of the screen on each page. This button will be greyed out at the beginning and will be activated after a few seconds (giving you time to read the instructions on each page). Please read everything on each page carefully before clicking on the ""Next"" button to continue to the next page.</div></div>","0","introInstructions","","","","","","","","","","","","","","","","","","",""
"instructionPractice","5","61226","0.0-5.0","","","","introInstructions","","","999999","300","[50,100]","1.2","[10,20]","[60,120]","hsl(210, 100%, 50%)","80","2.625","hsl(290, 100%, 50%)","[]","[{""timeMs"":315,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":632,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":948,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":1265,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":1581,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":1897,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":2214,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":2530,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":2846,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":3163,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":3479,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":3796,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":4112,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":4428,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":4745,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":5061,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":5377,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":5694,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":6010,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":6327,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":6643,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":6959,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":7276,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":7592,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":7909,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":8225,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":8541,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":8858,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":9174,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":9490,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":9807,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":10123,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":10440,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":10756,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":11073,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":11389,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":11705,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":12022,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":12338,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":12654,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":12971,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":13290,""colorHsl"":""hsl(210, 100%, 50%)""}]","[]","5000","","",""
"instructionPractice","6","75432","0.0-6.0","","","","introInstructions","","","300","999999","[50,100]","1.2","[10,20]","[60,120]","hsl(210, 100%, 50%)","80","2.625","hsl(290, 100%, 50%)","[{""timeMs"":317,""rectSize"":[60,120]},{""timeMs"":633,""rectSize"":[50,100]},{""timeMs"":949,""rectSize"":[60,120]},{""timeMs"":1266,""rectSize"":[50,100]},{""timeMs"":1582,""rectSize"":[60,120]},{""timeMs"":1898,""rectSize"":[50,100]},{""timeMs"":2215,""rectSize"":[60,120]},{""timeMs"":2531,""rectSize"":[50,100]},{""timeMs"":2848,""rectSize"":[60,120]},{""timeMs"":3164,""rectSize"":[50,100]},{""timeMs"":3480,""rectSize"":[60,120]},{""timeMs"":3797,""rectSize"":[50,100]},{""timeMs"":4113,""rectSize"":[60,120]},{""timeMs"":4430,""rectSize"":[50,100]},{""timeMs"":4746,""rectSize"":[60,120]},{""timeMs"":5062,""rectSize"":[50,100]},{""timeMs"":5379,""rectSize"":[60,120]},{""timeMs"":5695,""rectSize"":[50,100]},{""timeMs"":6011,""rectSize"":[60,120]},{""timeMs"":6328,""rectSize"":[50,100]},{""timeMs"":6644,""rectSize"":[60,120]},{""timeMs"":6961,""rectSize"":[50,100]},{""timeMs"":7277,""rectSize"":[60,120]},{""timeMs"":7593,""rectSize"":[50,100]},{""timeMs"":7910,""rectSize"":[60,120]},{""timeMs"":8226,""rectSize"":[50,100]},{""timeMs"":8543,""rectSize"":[60,120]},{""timeMs"":8859,""rectSize"":[50,100]},{""timeMs"":9175,""rectSize"":[60,120]},{""timeMs"":9492,""rectSize"":[50,100]},{""timeMs"":9808,""rectSize"":[60,120]},{""timeMs"":10124,""rectSize"":[50,100]},{""timeMs"":10441,""rectSize"":[60,120]},{""timeMs"":10757,""rectSize"":[50,100]},{""timeMs"":11074,""rectSize"":[60,120]},{""timeMs"":11390,""rectSize"":[50,100]},{""timeMs"":11707,""rectSize"":[60,120]},{""timeMs"":12023,""rectSize"":[50,100]},{""timeMs"":12339,""rectSize"":[60,120]},{""timeMs"":12656,""rectSize"":[50,100]},{""timeMs"":12972,""rectSize"":[60,120]},{""timeMs"":13288,""rectSize"":[50,100]},{""timeMs"":13605,""rectSize"":[60,120]},{""timeMs"":13921,""rectSize"":[50,100]}]","[]","[]","5000","","",""
"html-button-response","7","81407","0.0-7.0","5975","<div class='jspsych-display-element' style='justify-content: center; align-items: center; min-height: 80vh; width: 100%;'><div style='display: inline-block; margin: 0 auto; color: black; font-size: 2.5vh; line-height: 3.2vh; padding: 10px 200px 10px 200px; text-align: left'>In the examples so far, the rectangle alternated only one feature at a time (either its color or its size) rhythmically. In the actual experiment, both the color and the size will alternate together.<br><br>Let's see an example of this on the next page.</div></div>","0","introInstructions","","","","","","","","","","","","","","","","","","",""
"rhytmicFeatureChangeTask","8","89810","0.0-8.0","","","","introInstructions","","","320","280","[50,100]","1.2","[10,20]","[60,120]","hsl(210, 100%, 50%)","80","2.625","hsl(290, 100%, 50%)","[{""timeMs"":325,""rectSize"":[60,120]},{""timeMs"":658,""rectSize"":[50,100]},{""timeMs"":991,""rectSize"":[60,120]},{""timeMs"":1324,""rectSize"":[50,100]},{""timeMs"":1657,""rectSize"":[60,120]},{""timeMs"":1990,""rectSize"":[50,100]},{""timeMs"":2323,""rectSize"":[60,120]},{""timeMs"":2656,""rectSize"":[50,100]},{""timeMs"":2989,""rectSize"":[60,120]},{""timeMs"":3322,""rectSize"":[50,100]},{""timeMs"":3656,""rectSize"":[60,120]},{""timeMs"":3988,""rectSize"":[50,100]},{""timeMs"":4322,""rectSize"":[60,120]},{""timeMs"":4655,""rectSize"":[50,100]},{""timeMs"":4988,""rectSize"":[60,120]},{""timeMs"":5321,""rectSize"":[50,100]},{""timeMs"":5654,""rectSize"":[60,120]},{""timeMs"":5987,""rectSize"":[50,100]},{""timeMs"":6320,""rectSize"":[60,120]},{""timeMs"":6653,""rectSize"":[50,100]},{""timeMs"":6986,""rectSize"":[60,120]},{""timeMs"":7319,""rectSize"":[50,100]},{""timeMs"":7652,""rectSize"":[60,120]},{""timeMs"":7985,""rectSize"":[50,100]}]","[{""timeMs"":292,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":575,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":858,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":1141,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":1424,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":1707,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":1990,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":2273,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":2557,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":2840,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":3123,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":3406,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":3689,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":3972,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":4255,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":4538,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":4821,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":5104,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":5387,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":5670,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":5954,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":6236,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":6520,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":6803,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":7086,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":7369,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":7652,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":7935,""colorHsl"":""hsl(210, 100%, 50%)""}]","[]","8000","color","color-size","8001.6"
"html-button-response","9","130484","0.0-9.0","40673","<div class='jspsych-display-element' style='justify-content: center; align-items: center; min-height: 80vh; width: 100%;'><div style='display: inline-block; margin: 0 auto; color: black; font-size: 2.5vh; line-height: 3.2vh; padding: 10px 200px 10px 200px; text-align: left'>At the beginning of each display, you will be told which feature (color or size) to pay attention to. That is the feature you must keep track of (that feature's rhytmic changes). Whenever the instructed feature changes, you should respond by pressing the Space key. You must try to ignore the other feature, even though it may also be changing at the same time.<br><br>If you are instructed to pay attention to the color, you should press the Space key every time the rectangle changes to purple, and you should try to ignore any size changes throughout the whole display. If you are instructed to pay attention to the size, you should press the Space key every time the rectangle grows larger, and you should try to ignore color changes.<br><br>Because the alternations can be quite fast, you should try to press the Space key as quickly as possible when the relevant change occurs.<br><br>Let's practice first with the color feature.</div></div>","0","instructions","","","","","","","","","","","","","","","","","","",""
"html-button-response","10","144347","0.0-10.0","13462","<div class='jspsych-display-element' style='justify-content: center; align-items: center; min-height: 80vh; width: 100%;'><div style='display: inline-block; margin: 0 auto; color: black; font-size: 2.5vh; line-height: 3.2vh; padding: 10px 200px 10px 200px; text-align: left'>Pay attention to the <b>Color</b> change (press the Space key everytime the rectangle turns purple as soon as possible) and ignore the <b>Size</b> change.<br><br>Click on the 'Start' button to start the display. Since the display will start immediately,you should be ready to press the 'Space' key as soon as the rectangle starts alternating its color.</div></div>","0","introInstructions","","","","","","","","","","","","","","","","","","",""
"rhytmicFeatureChangeTask","11","164752","0.0-11.0","","","","introInstructions","","","500","700","[50,100]","1.2","[10,20]","[60,120]","hsl(210, 100%, 50%)","80","2.625","hsl(290, 100%, 50%)","[{""timeMs"":505,""rectSize"":[60,120]},{""timeMs"":1022,""rectSize"":[50,100]},{""timeMs"":1538,""rectSize"":[60,120]},{""timeMs"":2054,""rectSize"":[50,100]},{""timeMs"":2570,""rectSize"":[60,120]},{""timeMs"":3086,""rectSize"":[50,100]},{""timeMs"":3603,""rectSize"":[60,120]},{""timeMs"":4119,""rectSize"":[50,100]},{""timeMs"":4635,""rectSize"":[60,120]},{""timeMs"":5151,""rectSize"":[50,100]},{""timeMs"":5667,""rectSize"":[60,120]},{""timeMs"":6184,""rectSize"":[50,100]},{""timeMs"":6700,""rectSize"":[60,120]},{""timeMs"":7216,""rectSize"":[50,100]},{""timeMs"":7732,""rectSize"":[60,120]},{""timeMs"":8248,""rectSize"":[50,100]},{""timeMs"":8765,""rectSize"":[60,120]},{""timeMs"":9281,""rectSize"":[50,100]},{""timeMs"":9797,""rectSize"":[60,120]},{""timeMs"":10313,""rectSize"":[50,100]},{""timeMs"":10830,""rectSize"":[60,120]},{""timeMs"":11346,""rectSize"":[50,100]},{""timeMs"":11862,""rectSize"":[60,120]},{""timeMs"":12378,""rectSize"":[50,100]},{""timeMs"":12894,""rectSize"":[60,120]},{""timeMs"":13411,""rectSize"":[50,100]},{""timeMs"":13927,""rectSize"":[60,120]},{""timeMs"":14443,""rectSize"":[50,100]},{""timeMs"":14959,""rectSize"":[60,120]},{""timeMs"":15475,""rectSize"":[50,100]},{""timeMs"":15992,""rectSize"":[60,120]},{""timeMs"":16508,""rectSize"":[50,100]},{""timeMs"":17024,""rectSize"":[60,120]},{""timeMs"":17540,""rectSize"":[50,100]},{""timeMs"":18057,""rectSize"":[60,120]},{""timeMs"":18573,""rectSize"":[50,100]},{""timeMs"":19089,""rectSize"":[60,120]},{""timeMs"":19605,""rectSize"":[50,100]}]","[{""timeMs"":705,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":1421,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":2137,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":2853,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":3569,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":4285,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":5001,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":5717,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":6433,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":7149,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":7865,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":8582,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":9298,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":10014,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":10730,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":11446,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":12162,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":12878,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":13594,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":14310,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":15026,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":15742,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":16458,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":17174,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":17890,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":18606,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":19322,""colorHsl"":""hsl(290, 100%, 50%)""}]","[{""time_ms"":587},{""time_ms"":2323},{""time_ms"":3099},{""time_ms"":3951},{""time_ms"":5294},{""time_ms"":6719},{""time_ms"":8138},{""time_ms"":9559},{""time_ms"":10887},{""time_ms"":12438},{""time_ms"":13875},{""time_ms"":15319},{""time_ms"":16728},{""time_ms"":17938},{""time_ms"":19375}]","20000","color","color-size","20004.7"
"html-button-response","12","170993","0.0-12.0","6240","<div class='jspsych-display-element' style='justify-content: center; align-items: center; min-height: 80vh; width: 100%;'><div style='display: inline-block; margin: 0 auto; color: black; font-size: 2.5vh; line-height: 3.2vh; padding: 10px 200px 10px 200px; text-align: left'>Pay attention to the <b>Size</b> change (press the Space key everytime the rectangle grows larger as soon as possible) and ignore the <b>Color</b> change.<br><br>Click on the 'Start' button to start the display.</div></div>","0","introInstructions","","","","","","","","","","","","","","","","","","",""
"rhytmicFeatureChangeTask","13","191406","0.0-13.0","","","","introInstructions","","","700","500","[50,100]","1.2","[10,20]","[60,120]","hsl(210, 100%, 50%)","80","2.625","hsl(290, 100%, 50%)","[{""timeMs"":712,""rectSize"":[60,120]},{""timeMs"":1428,""rectSize"":[50,100]},{""timeMs"":2144,""rectSize"":[60,120]},{""timeMs"":2860,""rectSize"":[50,100]},{""timeMs"":3576,""rectSize"":[60,120]},{""timeMs"":4292,""rectSize"":[50,100]},{""timeMs"":5008,""rectSize"":[60,120]},{""timeMs"":5725,""rectSize"":[50,100]},{""timeMs"":6441,""rectSize"":[60,120]},{""timeMs"":7157,""rectSize"":[50,100]},{""timeMs"":7873,""rectSize"":[60,120]},{""timeMs"":8589,""rectSize"":[50,100]},{""timeMs"":9305,""rectSize"":[60,120]},{""timeMs"":10021,""rectSize"":[50,100]},{""timeMs"":10737,""rectSize"":[60,120]},{""timeMs"":11453,""rectSize"":[50,100]},{""timeMs"":12169,""rectSize"":[60,120]},{""timeMs"":12885,""rectSize"":[50,100]},{""timeMs"":13601,""rectSize"":[60,120]},{""timeMs"":14317,""rectSize"":[50,100]},{""timeMs"":15033,""rectSize"":[60,120]},{""timeMs"":15749,""rectSize"":[50,100]},{""timeMs"":16465,""rectSize"":[60,120]},{""timeMs"":17181,""rectSize"":[50,100]},{""timeMs"":17897,""rectSize"":[60,120]},{""timeMs"":18613,""rectSize"":[50,100]},{""timeMs"":19329,""rectSize"":[60,120]}]","[{""timeMs"":512,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":1029,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":1545,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":2061,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":2577,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":3093,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":3610,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":4126,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":4642,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":5158,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":5674,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":6191,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":6707,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":7223,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":7739,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":8256,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":8772,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":9288,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":9804,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":10320,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":10837,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":11353,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":11869,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":12385,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":12901,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":13418,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":13934,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":14450,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":14966,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":15483,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":15999,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":16515,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":17031,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":17547,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":18064,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":18580,""colorHsl"":""hsl(210, 100%, 50%)""},{""timeMs"":19096,""colorHsl"":""hsl(290, 100%, 50%)""},{""timeMs"":19612,""colorHsl"":""hsl(210, 100%, 50%)""}]","[{""time_ms"":1029},{""time_ms"":2400},{""time_ms"":3845},{""time_ms"":5253},{""time_ms"":6661},{""time_ms"":8125},{""time_ms"":9597},{""time_ms"":11039},{""time_ms"":12472},{""time_ms"":13869},{""time_ms"":15331},{""time_ms"":16746},{""time_ms"":18180},{""time_ms"":19644}]","20000","size","color-size","20011.9"
